,baseline_mean_R2,baseline_mean_RMSE,transformed_mean_R2,transformed_mean_RMSE
OLS,-0.5625535742159619,0.6215988023111284,-1.2178596585800305,0.6642949462226628
Ridge,-0.7792356261406994,0.6311713703603733,-1.6331612067592693,0.6702310938765809
Lasso,-0.6432725708065214,0.6232832868484266,-1.3692630630660894,0.6593262544957897
RandomForest,-4.343330101151119,0.7660179119344097,-3.084044427630355,0.7309112316162873
