,baseline_R2,baseline_RMSE,transformed_R2,transformed_RMSE
OLS,-1.4705026398858063,0.22294656113495429,-3.562145360249481,0.30296515107982425
Ridge,-2.8505668120420378,0.27833668369242626,-7.6287051976429545,0.416659158574679
Lasso,-2.3647185181201347,0.26018513816965605,-6.274747040343543,0.3825754211577071
RandomForest,-1.621795836815267,0.22967173517484712,-1.1764803841209388,0.2092596504075284
